,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,1040
10,Age 29 or younger,380
11,Age 30 to 54,476
12,Age 55 or older,184
17,"$1,250 per month or less",314
18,"$1,251 to $3,333 per month",440
19,"More than $3,333 per month",286
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,0
28,Manufacturing,0
29,Wholesale Trade,24
30,Retail Trade,386
31,Transportation and Warehousing,0
32,Information,3
33,Finance and Insurance,9
34,Real Estate and Rental and Leasing,26
35,"Professional, Scientific, and Technical Services",24
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",0
38,Educational Services,0
39,Health Care and Social Assistance,58
40,"Arts, Entertainment, and Recreation",11
41,Accommodation and Food Services,363
42,Other Services (excluding Public Administration),136
43,Public Administration,0
48,White Alone,656
49,Black or African American Alone,190
50,American Indian or Alaska Native Alone,9
51,Asian Alone,161
52,Native Hawaiian or Other Pacific Islander Alone,2
53,Two or More Race Groups,22
58,Not Hispanic or Latino,872
59,Hispanic or Latino,168
64,Less than high school,116
65,"High school or equivalent, no college",157
66,Some college or Associate degree,189
67,Bachelor's degree or advanced degree,198
68,Educational attainment not available (workers aged 29 or younger),380
73,Male,613
74,Female,427
