,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,284
10,Age 29 or younger,85
11,Age 30 to 54,155
12,Age 55 or older,44
17,"$1,250 per month or less",73
18,"$1,251 to $3,333 per month",80
19,"More than $3,333 per month",131
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,0
28,Manufacturing,22
29,Wholesale Trade,0
30,Retail Trade,30
31,Transportation and Warehousing,0
32,Information,0
33,Finance and Insurance,0
34,Real Estate and Rental and Leasing,0
35,"Professional, Scientific, and Technical Services",1
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",2
38,Educational Services,143
39,Health Care and Social Assistance,48
40,"Arts, Entertainment, and Recreation",0
41,Accommodation and Food Services,29
42,Other Services (excluding Public Administration),9
43,Public Administration,0
48,White Alone,151
49,Black or African American Alone,106
50,American Indian or Alaska Native Alone,1
51,Asian Alone,17
52,Native Hawaiian or Other Pacific Islander Alone,3
53,Two or More Race Groups,6
58,Not Hispanic or Latino,227
59,Hispanic or Latino,57
64,Less than high school,39
65,"High school or equivalent, no college",39
66,Some college or Associate degree,59
67,Bachelor's degree or advanced degree,62
68,Educational attainment not available (workers aged 29 or younger),85
73,Male,142
74,Female,142
