,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,2782
10,Age 29 or younger,563
11,Age 30 to 54,1446
12,Age 55 or older,773
17,"$1,250 per month or less",367
18,"$1,251 to $3,333 per month",561
19,"More than $3,333 per month",1854
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,30
28,Manufacturing,0
29,Wholesale Trade,2
30,Retail Trade,62
31,Transportation and Warehousing,3
32,Information,0
33,Finance and Insurance,5
34,Real Estate and Rental and Leasing,7
35,"Professional, Scientific, and Technical Services",35
36,Management of Companies and Enterprises,3
37,"Administration & Support, Waste Management and Remediation",5
38,Educational Services,4
39,Health Care and Social Assistance,2377
40,"Arts, Entertainment, and Recreation",3
41,Accommodation and Food Services,200
42,Other Services (excluding Public Administration),46
43,Public Administration,0
48,White Alone,1995
49,Black or African American Alone,450
50,American Indian or Alaska Native Alone,10
51,Asian Alone,283
52,Native Hawaiian or Other Pacific Islander Alone,8
53,Two or More Race Groups,36
58,Not Hispanic or Latino,2486
59,Hispanic or Latino,296
64,Less than high school,249
65,"High school or equivalent, no college",413
66,Some college or Associate degree,629
67,Bachelor's degree or advanced degree,928
68,Educational attainment not available (workers aged 29 or younger),563
73,Male,893
74,Female,1889
