,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,96
10,Age 29 or younger,30
11,Age 30 to 54,52
12,Age 55 or older,14
17,"$1,250 per month or less",30
18,"$1,251 to $3,333 per month",41
19,"More than $3,333 per month",25
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,0
28,Manufacturing,0
29,Wholesale Trade,0
30,Retail Trade,26
31,Transportation and Warehousing,0
32,Information,0
33,Finance and Insurance,0
34,Real Estate and Rental and Leasing,0
35,"Professional, Scientific, and Technical Services",1
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",0
38,Educational Services,0
39,Health Care and Social Assistance,4
40,"Arts, Entertainment, and Recreation",0
41,Accommodation and Food Services,39
42,Other Services (excluding Public Administration),26
43,Public Administration,0
48,White Alone,73
49,Black or African American Alone,8
50,American Indian or Alaska Native Alone,2
51,Asian Alone,12
52,Native Hawaiian or Other Pacific Islander Alone,0
53,Two or More Race Groups,1
58,Not Hispanic or Latino,82
59,Hispanic or Latino,14
64,Less than high school,11
65,"High school or equivalent, no college",17
66,Some college or Associate degree,14
67,Bachelor's degree or advanced degree,24
68,Educational attainment not available (workers aged 29 or younger),30
73,Male,45
74,Female,51
