,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,1540
10,Age 29 or younger,345
11,Age 30 to 54,844
12,Age 55 or older,351
17,"$1,250 per month or less",595
18,"$1,251 to $3,333 per month",483
19,"More than $3,333 per month",462
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,0
28,Manufacturing,92
29,Wholesale Trade,21
30,Retail Trade,107
31,Transportation and Warehousing,2
32,Information,21
33,Finance and Insurance,47
34,Real Estate and Rental and Leasing,7
35,"Professional, Scientific, and Technical Services",296
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",53
38,Educational Services,10
39,Health Care and Social Assistance,9
40,"Arts, Entertainment, and Recreation",11
41,Accommodation and Food Services,819
42,Other Services (excluding Public Administration),45
43,Public Administration,0
48,White Alone,441
49,Black or African American Alone,20
50,American Indian or Alaska Native Alone,0
51,Asian Alone,1066
52,Native Hawaiian or Other Pacific Islander Alone,1
53,Two or More Race Groups,12
58,Not Hispanic or Latino,1505
59,Hispanic or Latino,35
64,Less than high school,231
65,"High school or equivalent, no college",252
66,Some college or Associate degree,232
67,Bachelor's degree or advanced degree,480
68,Educational attainment not available (workers aged 29 or younger),345
73,Male,785
74,Female,755
