,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,760
10,Age 29 or younger,158
11,Age 30 to 54,432
12,Age 55 or older,170
17,"$1,250 per month or less",168
18,"$1,251 to $3,333 per month",306
19,"More than $3,333 per month",286
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,3
28,Manufacturing,6
29,Wholesale Trade,12
30,Retail Trade,92
31,Transportation and Warehousing,2
32,Information,0
33,Finance and Insurance,40
34,Real Estate and Rental and Leasing,2
35,"Professional, Scientific, and Technical Services",26
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",89
38,Educational Services,0
39,Health Care and Social Assistance,145
40,"Arts, Entertainment, and Recreation",25
41,Accommodation and Food Services,145
42,Other Services (excluding Public Administration),14
43,Public Administration,159
48,White Alone,593
49,Black or African American Alone,64
50,American Indian or Alaska Native Alone,5
51,Asian Alone,73
52,Native Hawaiian or Other Pacific Islander Alone,1
53,Two or More Race Groups,24
58,Not Hispanic or Latino,498
59,Hispanic or Latino,262
64,Less than high school,98
65,"High school or equivalent, no college",165
66,Some college or Associate degree,172
67,Bachelor's degree or advanced degree,167
68,Educational attainment not available (workers aged 29 or younger),158
73,Male,355
74,Female,405
