,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,629
10,Age 29 or younger,181
11,Age 30 to 54,298
12,Age 55 or older,150
17,"$1,250 per month or less",184
18,"$1,251 to $3,333 per month",273
19,"More than $3,333 per month",172
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,5
28,Manufacturing,11
29,Wholesale Trade,23
30,Retail Trade,152
31,Transportation and Warehousing,0
32,Information,13
33,Finance and Insurance,34
34,Real Estate and Rental and Leasing,0
35,"Professional, Scientific, and Technical Services",32
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",75
38,Educational Services,24
39,Health Care and Social Assistance,31
40,"Arts, Entertainment, and Recreation",4
41,Accommodation and Food Services,143
42,Other Services (excluding Public Administration),82
43,Public Administration,0
48,White Alone,340
49,Black or African American Alone,143
50,American Indian or Alaska Native Alone,11
51,Asian Alone,127
52,Native Hawaiian or Other Pacific Islander Alone,2
53,Two or More Race Groups,6
58,Not Hispanic or Latino,496
59,Hispanic or Latino,133
64,Less than high school,81
65,"High school or equivalent, no college",115
66,Some college or Associate degree,98
67,Bachelor's degree or advanced degree,154
68,Educational attainment not available (workers aged 29 or younger),181
73,Male,344
74,Female,285
