,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,93
10,Age 29 or younger,20
11,Age 30 to 54,57
12,Age 55 or older,16
17,"$1,250 per month or less",40
18,"$1,251 to $3,333 per month",33
19,"More than $3,333 per month",20
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,0
28,Manufacturing,0
29,Wholesale Trade,0
30,Retail Trade,35
31,Transportation and Warehousing,0
32,Information,0
33,Finance and Insurance,1
34,Real Estate and Rental and Leasing,0
35,"Professional, Scientific, and Technical Services",0
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",1
38,Educational Services,8
39,Health Care and Social Assistance,16
40,"Arts, Entertainment, and Recreation",0
41,Accommodation and Food Services,20
42,Other Services (excluding Public Administration),12
43,Public Administration,0
48,White Alone,58
49,Black or African American Alone,15
50,American Indian or Alaska Native Alone,0
51,Asian Alone,19
52,Native Hawaiian or Other Pacific Islander Alone,0
53,Two or More Race Groups,1
58,Not Hispanic or Latino,82
59,Hispanic or Latino,11
64,Less than high school,13
65,"High school or equivalent, no college",20
66,Some college or Associate degree,22
67,Bachelor's degree or advanced degree,18
68,Educational attainment not available (workers aged 29 or younger),20
73,Male,45
74,Female,48
