,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,330
10,Age 29 or younger,70
11,Age 30 to 54,184
12,Age 55 or older,76
17,"$1,250 per month or less",83
18,"$1,251 to $3,333 per month",151
19,"More than $3,333 per month",96
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,0
28,Manufacturing,0
29,Wholesale Trade,0
30,Retail Trade,24
31,Transportation and Warehousing,0
32,Information,18
33,Finance and Insurance,4
34,Real Estate and Rental and Leasing,4
35,"Professional, Scientific, and Technical Services",0
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",68
38,Educational Services,0
39,Health Care and Social Assistance,73
40,"Arts, Entertainment, and Recreation",0
41,Accommodation and Food Services,87
42,Other Services (excluding Public Administration),7
43,Public Administration,45
48,White Alone,199
49,Black or African American Alone,97
50,American Indian or Alaska Native Alone,2
51,Asian Alone,24
52,Native Hawaiian or Other Pacific Islander Alone,0
53,Two or More Race Groups,8
58,Not Hispanic or Latino,193
59,Hispanic or Latino,137
64,Less than high school,71
65,"High school or equivalent, no college",50
66,Some college or Associate degree,78
67,Bachelor's degree or advanced degree,61
68,Educational attainment not available (workers aged 29 or younger),70
73,Male,158
74,Female,172
