,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,364
10,Age 29 or younger,98
11,Age 30 to 54,174
12,Age 55 or older,92
17,"$1,250 per month or less",178
18,"$1,251 to $3,333 per month",103
19,"More than $3,333 per month",83
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,0
28,Manufacturing,0
29,Wholesale Trade,1
30,Retail Trade,12
31,Transportation and Warehousing,0
32,Information,0
33,Finance and Insurance,13
34,Real Estate and Rental and Leasing,39
35,"Professional, Scientific, and Technical Services",31
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",0
38,Educational Services,0
39,Health Care and Social Assistance,100
40,"Arts, Entertainment, and Recreation",0
41,Accommodation and Food Services,15
42,Other Services (excluding Public Administration),153
43,Public Administration,0
48,White Alone,227
49,Black or African American Alone,102
50,American Indian or Alaska Native Alone,4
51,Asian Alone,21
52,Native Hawaiian or Other Pacific Islander Alone,0
53,Two or More Race Groups,10
58,Not Hispanic or Latino,301
59,Hispanic or Latino,63
64,Less than high school,49
65,"High school or equivalent, no college",73
66,Some college or Associate degree,70
67,Bachelor's degree or advanced degree,74
68,Educational attainment not available (workers aged 29 or younger),98
73,Male,131
74,Female,233
