,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,21916
10,Age 29 or younger,5299
11,Age 30 to 54,12176
12,Age 55 or older,4441
17,"$1,250 per month or less",2714
18,"$1,251 to $3,333 per month",3790
19,"More than $3,333 per month",15412
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,0
28,Manufacturing,0
29,Wholesale Trade,11
30,Retail Trade,262
31,Transportation and Warehousing,0
32,Information,5
33,Finance and Insurance,8
34,Real Estate and Rental and Leasing,23
35,"Professional, Scientific, and Technical Services",518
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",32
38,Educational Services,5009
39,Health Care and Social Assistance,14627
40,"Arts, Entertainment, and Recreation",0
41,Accommodation and Food Services,369
42,Other Services (excluding Public Administration),1041
43,Public Administration,11
48,White Alone,15214
49,Black or African American Alone,3460
50,American Indian or Alaska Native Alone,110
51,Asian Alone,2586
52,Native Hawaiian or Other Pacific Islander Alone,46
53,Two or More Race Groups,500
58,Not Hispanic or Latino,19534
59,Hispanic or Latino,2382
64,Less than high school,1550
65,"High school or equivalent, no college",2715
66,Some college or Associate degree,4402
67,Bachelor's degree or advanced degree,7950
68,Educational attainment not available (workers aged 29 or younger),5299
73,Male,7865
74,Female,14051
