,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,12319
10,Age 29 or younger,1903
11,Age 30 to 54,7239
12,Age 55 or older,3177
17,"$1,250 per month or less",1322
18,"$1,251 to $3,333 per month",1403
19,"More than $3,333 per month",9594
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,9
28,Manufacturing,0
29,Wholesale Trade,44
30,Retail Trade,179
31,Transportation and Warehousing,7
32,Information,168
33,Finance and Insurance,27
34,Real Estate and Rental and Leasing,33
35,"Professional, Scientific, and Technical Services",52
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",47
38,Educational Services,10704
39,Health Care and Social Assistance,430
40,"Arts, Entertainment, and Recreation",1
41,Accommodation and Food Services,76
42,Other Services (excluding Public Administration),328
43,Public Administration,214
48,White Alone,7608
49,Black or African American Alone,3730
50,American Indian or Alaska Native Alone,72
51,Asian Alone,598
52,Native Hawaiian or Other Pacific Islander Alone,21
53,Two or More Race Groups,290
58,Not Hispanic or Latino,10557
59,Hispanic or Latino,1762
64,Less than high school,1114
65,"High school or equivalent, no college",1964
66,Some college or Associate degree,2835
67,Bachelor's degree or advanced degree,4503
68,Educational attainment not available (workers aged 29 or younger),1903
73,Male,5555
74,Female,6764
