,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,174
10,Age 29 or younger,44
11,Age 30 to 54,82
12,Age 55 or older,48
17,"$1,250 per month or less",69
18,"$1,251 to $3,333 per month",75
19,"More than $3,333 per month",30
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,0
28,Manufacturing,3
29,Wholesale Trade,3
30,Retail Trade,62
31,Transportation and Warehousing,0
32,Information,0
33,Finance and Insurance,0
34,Real Estate and Rental and Leasing,0
35,"Professional, Scientific, and Technical Services",6
36,Management of Companies and Enterprises,1
37,"Administration & Support, Waste Management and Remediation",0
38,Educational Services,15
39,Health Care and Social Assistance,3
40,"Arts, Entertainment, and Recreation",0
41,Accommodation and Food Services,61
42,Other Services (excluding Public Administration),20
43,Public Administration,0
48,White Alone,136
49,Black or African American Alone,23
50,American Indian or Alaska Native Alone,0
51,Asian Alone,12
52,Native Hawaiian or Other Pacific Islander Alone,0
53,Two or More Race Groups,3
58,Not Hispanic or Latino,142
59,Hispanic or Latino,32
64,Less than high school,22
65,"High school or equivalent, no college",32
66,Some college or Associate degree,32
67,Bachelor's degree or advanced degree,44
68,Educational attainment not available (workers aged 29 or younger),44
73,Male,78
74,Female,96
