,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,804
10,Age 29 or younger,150
11,Age 30 to 54,472
12,Age 55 or older,182
17,"$1,250 per month or less",192
18,"$1,251 to $3,333 per month",388
19,"More than $3,333 per month",224
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,0
28,Manufacturing,0
29,Wholesale Trade,6
30,Retail Trade,88
31,Transportation and Warehousing,0
32,Information,0
33,Finance and Insurance,12
34,Real Estate and Rental and Leasing,14
35,"Professional, Scientific, and Technical Services",13
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",17
38,Educational Services,0
39,Health Care and Social Assistance,550
40,"Arts, Entertainment, and Recreation",0
41,Accommodation and Food Services,57
42,Other Services (excluding Public Administration),47
43,Public Administration,0
48,White Alone,379
49,Black or African American Alone,309
50,American Indian or Alaska Native Alone,11
51,Asian Alone,68
52,Native Hawaiian or Other Pacific Islander Alone,13
53,Two or More Race Groups,24
58,Not Hispanic or Latino,559
59,Hispanic or Latino,245
64,Less than high school,141
65,"High school or equivalent, no college",144
66,Some college or Associate degree,182
67,Bachelor's degree or advanced degree,187
68,Educational attainment not available (workers aged 29 or younger),150
73,Male,235
74,Female,569
