,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,2104
10,Age 29 or younger,494
11,Age 30 to 54,1123
12,Age 55 or older,487
17,"$1,250 per month or less",396
18,"$1,251 to $3,333 per month",528
19,"More than $3,333 per month",1180
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,9
28,Manufacturing,17
29,Wholesale Trade,0
30,Retail Trade,146
31,Transportation and Warehousing,35
32,Information,45
33,Finance and Insurance,174
34,Real Estate and Rental and Leasing,31
35,"Professional, Scientific, and Technical Services",395
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",58
38,Educational Services,11
39,Health Care and Social Assistance,262
40,"Arts, Entertainment, and Recreation",39
41,Accommodation and Food Services,345
42,Other Services (excluding Public Administration),83
43,Public Administration,454
48,White Alone,1527
49,Black or African American Alone,301
50,American Indian or Alaska Native Alone,7
51,Asian Alone,236
52,Native Hawaiian or Other Pacific Islander Alone,5
53,Two or More Race Groups,28
58,Not Hispanic or Latino,1850
59,Hispanic or Latino,254
64,Less than high school,193
65,"High school or equivalent, no college",314
66,Some college or Associate degree,442
67,Bachelor's degree or advanced degree,661
68,Educational attainment not available (workers aged 29 or younger),494
73,Male,904
74,Female,1200
