,Work Area Profile Report,Unnamed: 1
5,Total All Jobs,606
10,Age 29 or younger,227
11,Age 30 to 54,242
12,Age 55 or older,137
17,"$1,250 per month or less",225
18,"$1,251 to $3,333 per month",190
19,"More than $3,333 per month",191
24,"Agriculture, Forestry, Fishing and Hunting",0
25,"Mining, Quarrying, and Oil and Gas Extraction",0
26,Utilities,0
27,Construction,15
28,Manufacturing,4
29,Wholesale Trade,10
30,Retail Trade,182
31,Transportation and Warehousing,0
32,Information,0
33,Finance and Insurance,46
34,Real Estate and Rental and Leasing,4
35,"Professional, Scientific, and Technical Services",49
36,Management of Companies and Enterprises,0
37,"Administration & Support, Waste Management and Remediation",11
38,Educational Services,9
39,Health Care and Social Assistance,69
40,"Arts, Entertainment, and Recreation",0
41,Accommodation and Food Services,160
42,Other Services (excluding Public Administration),47
43,Public Administration,0
48,White Alone,485
49,Black or African American Alone,74
50,American Indian or Alaska Native Alone,1
51,Asian Alone,33
52,Native Hawaiian or Other Pacific Islander Alone,1
53,Two or More Race Groups,12
58,Not Hispanic or Latino,542
59,Hispanic or Latino,64
64,Less than high school,39
65,"High school or equivalent, no college",112
66,Some college or Associate degree,106
67,Bachelor's degree or advanced degree,122
68,Educational attainment not available (workers aged 29 or younger),227
73,Male,281
74,Female,325
