Row Labels,Change in In-Person Mastercard Spending
1/5/2020,2%
1/12/2020,-2%
1/19/2020,2%
1/26/2020,-6%
2/2/2020,1%
2/9/2020,-1%
2/16/2020,-4%
2/23/2020,0%
3/1/2020,-2%
3/8/2020,10%
3/15/2020,5%
3/22/2020,-4%
3/29/2020,-8%
4/5/2020,-11%
4/12/2020,-13%
4/19/2020,-13%
4/26/2020,-13%
5/3/2020,-9%
5/10/2020,-14%
5/17/2020,-11%
5/24/2020,-3%
5/31/2020,-7%
6/7/2020,-9%
6/14/2020,-8%
6/21/2020,2%
6/28/2020,-1%
7/5/2020,21%
7/12/2020,13%
7/19/2020,-5%
7/26/2020,10%
8/2/2020,16%
8/9/2020,0%
8/16/2020,13%
8/23/2020,3%
8/30/2020,13%
9/6/2020,5%
9/13/2020,2%
9/20/2020,4%
9/27/2020,-3%
10/4/2020,7%
10/11/2020,-3%
10/18/2020,10%
10/25/2020,4%
11/1/2020,-5%
11/8/2020,0%
11/15/2020,2%
11/22/2020,-9%
11/29/2020,4%
12/6/2020,-14%
12/13/2020,-6%
12/20/2020,-2%
12/27/2020,3%
1/3/2021,12%
1/10/2021,8%
1/17/2021,15%
1/24/2021,0%
1/31/2021,8%
2/7/2021,7%
2/14/2021,5%
2/21/2021,13%
2/28/2021,2%
3/7/2021,7%
3/14/2021,9%
3/21/2021,20%
3/28/2021,9%
4/4/2021,20%
4/11/2021,5%
4/18/2021,1%
4/25/2021,10%
5/2/2021,15%
5/9/2021,11%
5/16/2021,12%
5/23/2021,7%
5/30/2021,10%
6/6/2021,6%
6/13/2021,-2%
6/20/2021,6%
6/27/2021,17%
7/4/2021,15%
7/11/2021,21%
7/18/2021,1%
7/25/2021,7%
8/1/2021,13%
8/8/2021,7%
8/15/2021,12%
8/22/2021,5%
8/29/2021,6%
9/5/2021,8%
9/12/2021,8%
9/19/2021,-4%
9/26/2021,0%
10/3/2021,4%
10/10/2021,5%
10/17/2021,9%
10/24/2021,2%
10/31/2021,0%
11/7/2021,3%
11/14/2021,6%
11/21/2021,0%
11/28/2021,6%
12/5/2021,2%
