Row Labels,Change in In-Person Mastercard Spending
1/5/2020,-7%
1/12/2020,-17%
1/19/2020,-15%
1/26/2020,-15%
2/2/2020,-23%
2/9/2020,-35%
2/16/2020,-20%
2/23/2020,-27%
3/1/2020,-1%
3/8/2020,-10%
3/15/2020,-16%
3/22/2020,-51%
3/29/2020,-53%
4/5/2020,-70%
4/12/2020,-56%
4/19/2020,-23%
4/26/2020,-13%
5/3/2020,-15%
5/10/2020,-9%
5/17/2020,-18%
5/24/2020,-4%
5/31/2020,-18%
6/7/2020,-10%
6/14/2020,-26%
6/21/2020,-20%
6/28/2020,0%
7/5/2020,5%
7/12/2020,-2%
7/19/2020,0%
7/26/2020,0%
8/2/2020,-28%
8/9/2020,7%
8/16/2020,-4%
8/23/2020,-14%
8/30/2020,-5%
9/6/2020,-7%
9/13/2020,-6%
9/20/2020,-7%
9/27/2020,-11%
10/4/2020,-2%
10/11/2020,-28%
10/18/2020,6%
10/25/2020,-2%
11/1/2020,-1%
11/8/2020,-10%
11/15/2020,-10%
11/22/2020,6%
11/29/2020,-21%
12/6/2020,-25%
12/13/2020,0%
12/20/2020,-1%
12/27/2020,-6%
1/3/2021,-15%
1/10/2021,-8%
1/17/2021,-13%
1/24/2021,-15%
1/31/2021,-8%
2/7/2021,-18%
2/14/2021,-15%
2/21/2021,-1%
2/28/2021,-13%
3/7/2021,-10%
3/14/2021,-16%
3/21/2021,-27%
3/28/2021,-8%
4/4/2021,-9%
4/11/2021,-31%
4/18/2021,-17%
4/25/2021,-2%
5/2/2021,1%
5/9/2021,-8%
5/16/2021,-14%
5/23/2021,-12%
5/30/2021,-19%
6/6/2021,2%
6/13/2021,-9%
6/20/2021,-3%
6/27/2021,17%
7/4/2021,18%
7/11/2021,14%
7/18/2021,22%
7/25/2021,11%
8/1/2021,1%
8/8/2021,11%
8/15/2021,7%
8/22/2021,-3%
8/29/2021,19%
9/5/2021,17%
9/12/2021,10%
9/19/2021,10%
9/26/2021,6%
10/3/2021,7%
10/10/2021,-7%
10/17/2021,16%
10/24/2021,4%
10/31/2021,2%
11/7/2021,-3%
11/14/2021,1%
11/21/2021,6%
11/28/2021,10%
12/5/2021,-8%
