Row Labels,Change in In-Person Mastercard Spending
1/5/2020,6%
1/12/2020,8%
1/19/2020,9%
1/26/2020,25%
2/2/2020,16%
2/9/2020,17%
2/16/2020,29%
2/23/2020,-32%
3/1/2020,-2%
3/8/2020,-9%
3/15/2020,-63%
3/22/2020,-136%
3/29/2020,-222%
4/5/2020,-419%
4/12/2020,-154%
4/19/2020,-186%
4/26/2020,-201%
5/3/2020,-146%
5/10/2020,-159%
5/17/2020,-136%
5/24/2020,-98%
5/31/2020,-86%
6/7/2020,-62%
6/14/2020,-62%
6/21/2020,-31%
6/28/2020,2%
7/5/2020,3%
7/12/2020,-15%
7/19/2020,-12%
7/26/2020,-18%
8/2/2020,4%
8/9/2020,16%
8/16/2020,14%
8/23/2020,2%
8/30/2020,15%
9/6/2020,-25%
9/13/2020,-4%
9/20/2020,2%
9/27/2020,16%
10/4/2020,18%
10/11/2020,20%
10/18/2020,26%
10/25/2020,19%
11/1/2020,3%
11/8/2020,-32%
11/15/2020,-4%
11/22/2020,-5%
11/29/2020,-2%
12/6/2020,-24%
12/13/2020,-42%
12/20/2020,-5%
12/27/2020,-31%
1/3/2021,11%
1/10/2021,-16%
1/17/2021,-24%
1/24/2021,-20%
1/31/2021,-15%
2/7/2021,-18%
2/14/2021,-19%
2/21/2021,-69%
2/28/2021,-13%
3/7/2021,-31%
3/14/2021,-26%
3/21/2021,-40%
3/28/2021,-24%
4/4/2021,-54%
4/11/2021,-52%
4/18/2021,-28%
4/25/2021,-11%
5/2/2021,16%
5/9/2021,15%
5/16/2021,20%
5/23/2021,2%
5/30/2021,31%
6/6/2021,13%
6/13/2021,12%
6/20/2021,29%
6/27/2021,24%
7/4/2021,-1%
7/11/2021,29%
7/18/2021,14%
7/25/2021,5%
8/1/2021,19%
8/8/2021,38%
8/15/2021,12%
8/22/2021,9%
8/29/2021,26%
9/5/2021,-13%
9/12/2021,23%
9/19/2021,-28%
9/26/2021,-3%
10/3/2021,2%
10/10/2021,4%
10/17/2021,4%
10/24/2021,3%
10/31/2021,-21%
11/7/2021,-45%
11/14/2021,-22%
11/21/2021,-31%
11/28/2021,-13%
12/5/2021,-25%
