Row Labels,Change in In-Person Mastercard Spending
1/5/2020,16%
1/12/2020,1%
1/19/2020,0%
1/26/2020,-30%
2/2/2020,-20%
2/9/2020,-28%
2/16/2020,-26%
2/23/2020,-14%
3/1/2020,-26%
3/8/2020,-20%
3/15/2020,-79%
3/22/2020,-140%
3/29/2020,-139%
4/5/2020,-102%
4/12/2020,-111%
4/19/2020,-98%
4/26/2020,-71%
5/3/2020,-41%
5/10/2020,-35%
5/17/2020,-45%
5/24/2020,-37%
5/31/2020,-44%
6/7/2020,-51%
6/14/2020,-17%
6/21/2020,-11%
6/28/2020,3%
7/5/2020,-60%
7/12/2020,-28%
7/19/2020,-21%
7/26/2020,-18%
8/2/2020,-13%
8/9/2020,-6%
8/16/2020,-20%
8/23/2020,-36%
8/30/2020,-4%
9/6/2020,-32%
9/13/2020,-29%
9/20/2020,9%
9/27/2020,-9%
10/4/2020,-16%
10/11/2020,-44%
10/18/2020,1%
10/25/2020,-20%
11/1/2020,-14%
11/8/2020,-14%
11/15/2020,-16%
11/22/2020,-24%
11/29/2020,-2%
12/6/2020,-11%
12/13/2020,-19%
12/20/2020,-7%
12/27/2020,-2%
1/3/2021,4%
1/10/2021,-13%
1/17/2021,-7%
1/24/2021,-19%
1/31/2021,-33%
2/7/2021,-27%
2/14/2021,-19%
2/21/2021,-21%
2/28/2021,-25%
3/7/2021,-17%
3/14/2021,-13%
3/21/2021,-20%
3/28/2021,-9%
4/4/2021,-12%
4/11/2021,-22%
4/18/2021,-25%
4/25/2021,-1%
5/2/2021,7%
5/9/2021,-6%
5/16/2021,-12%
5/23/2021,4%
5/30/2021,-10%
6/6/2021,-17%
6/13/2021,-6%
6/20/2021,1%
6/27/2021,14%
7/4/2021,-40%
7/11/2021,-13%
7/18/2021,-3%
7/25/2021,-3%
8/1/2021,4%
8/8/2021,6%
8/15/2021,-3%
8/22/2021,-22%
8/29/2021,3%
9/5/2021,-39%
9/12/2021,-18%
9/19/2021,11%
9/26/2021,-3%
10/3/2021,-13%
10/10/2021,-18%
10/17/2021,-17%
10/24/2021,-15%
10/31/2021,-8%
11/7/2021,-10%
11/14/2021,4%
11/21/2021,-11%
11/28/2021,4%
12/5/2021,-17%
