Row Labels,Change in In-Person Mastercard Spending
1/5/2020,6%
1/12/2020,1%
1/19/2020,2%
1/26/2020,-1%
2/2/2020,0%
2/9/2020,1%
2/16/2020,-3%
2/23/2020,4%
3/1/2020,-4%
3/8/2020,-1%
3/15/2020,-12%
3/22/2020,-25%
3/29/2020,-50%
4/5/2020,-44%
4/12/2020,-54%
4/19/2020,-51%
4/26/2020,-42%
5/3/2020,-16%
5/10/2020,-21%
5/17/2020,-13%
5/24/2020,-8%
5/31/2020,-7%
6/7/2020,-8%
6/14/2020,-14%
6/21/2020,2%
6/28/2020,4%
7/5/2020,1%
7/12/2020,7%
7/19/2020,3%
7/26/2020,9%
8/2/2020,8%
8/9/2020,9%
8/16/2020,7%
8/23/2020,5%
8/30/2020,2%
9/6/2020,5%
9/13/2020,9%
9/20/2020,11%
9/27/2020,8%
10/4/2020,18%
10/11/2020,8%
10/18/2020,-2%
10/25/2020,5%
11/1/2020,11%
11/8/2020,-1%
11/15/2020,4%
11/22/2020,6%
11/29/2020,12%
12/6/2020,3%
12/13/2020,-9%
12/20/2020,-4%
12/27/2020,11%
1/3/2021,13%
1/10/2021,7%
1/17/2021,6%
1/24/2021,10%
1/31/2021,13%
2/7/2021,7%
2/14/2021,7%
2/21/2021,9%
2/28/2021,-2%
3/7/2021,4%
3/14/2021,6%
3/21/2021,13%
3/28/2021,15%
4/4/2021,8%
4/11/2021,-8%
4/18/2021,6%
4/25/2021,10%
5/2/2021,15%
5/9/2021,15%
5/16/2021,8%
5/23/2021,3%
5/30/2021,17%
6/6/2021,11%
6/13/2021,7%
6/20/2021,14%
6/27/2021,18%
7/4/2021,13%
7/11/2021,15%
7/18/2021,15%
7/25/2021,8%
8/1/2021,9%
8/8/2021,14%
8/15/2021,13%
8/22/2021,17%
8/29/2021,12%
9/5/2021,10%
9/12/2021,15%
9/19/2021,14%
9/26/2021,19%
10/3/2021,28%
10/10/2021,12%
10/17/2021,12%
10/24/2021,14%
10/31/2021,24%
11/7/2021,19%
11/14/2021,17%
11/21/2021,6%
11/28/2021,22%
12/5/2021,30%
