Row Labels,Change in In-Person Mastercard Spending
1/5/2020,2%
1/12/2020,2%
1/19/2020,1%
1/26/2020,-12%
2/2/2020,5%
2/9/2020,2%
2/16/2020,-27%
2/23/2020,9%
3/1/2020,-8%
3/8/2020,-8%
3/15/2020,-12%
3/22/2020,-8%
3/29/2020,-47%
4/5/2020,-10%
4/12/2020,-39%
4/19/2020,-6%
4/26/2020,-6%
5/3/2020,-5%
5/10/2020,-19%
5/17/2020,5%
5/24/2020,-25%
5/31/2020,-56%
6/7/2020,-35%
6/14/2020,-26%
6/21/2020,-26%
6/28/2020,-22%
7/5/2020,-19%
7/12/2020,-16%
7/19/2020,5%
7/26/2020,-14%
8/2/2020,-22%
8/9/2020,-3%
8/16/2020,-1%
8/23/2020,-14%
8/30/2020,-25%
9/6/2020,-76%
9/13/2020,-114%
9/20/2020,-24%
9/27/2020,-9%
10/4/2020,-26%
10/11/2020,-17%
10/18/2020,-28%
10/25/2020,5%
11/1/2020,-14%
11/8/2020,2%
11/15/2020,-12%
11/22/2020,27%
11/29/2020,7%
12/6/2020,-19%
12/13/2020,-7%
12/20/2020,16%
12/27/2020,-7%
1/3/2021,-2%
1/10/2021,4%
1/17/2021,-7%
1/24/2021,-16%
1/31/2021,3%
2/7/2021,-1%
2/14/2021,-38%
2/21/2021,16%
2/28/2021,5%
3/7/2021,-21%
3/14/2021,-21%
3/21/2021,1%
3/28/2021,10%
4/4/2021,-9%
4/11/2021,-23%
4/18/2021,-3%
4/25/2021,-20%
5/2/2021,-3%
5/9/2021,-15%
5/16/2021,18%
5/23/2021,-16%
5/30/2021,6%
6/6/2021,19%
6/13/2021,4%
6/20/2021,11%
6/27/2021,0%
7/4/2021,-10%
7/11/2021,2%
7/18/2021,11%
7/25/2021,-1%
8/1/2021,-5%
8/8/2021,18%
8/15/2021,-12%
8/22/2021,-3%
8/29/2021,-9%
9/5/2021,7%
9/12/2021,-18%
9/19/2021,-3%
9/26/2021,-5%
10/3/2021,1%
10/10/2021,-4%
10/17/2021,-9%
10/24/2021,23%
10/31/2021,-5%
11/7/2021,-7%
11/14/2021,2%
11/21/2021,19%
11/28/2021,11%
12/5/2021,-22%
