Row Labels,Change in In-Person Mastercard Spending
1/5/2020,-17%
1/12/2020,-7%
1/19/2020,-7%
1/26/2020,-2%
2/2/2020,-5%
2/9/2020,-6%
2/16/2020,-9%
2/23/2020,-24%
3/1/2020,11%
3/8/2020,2%
3/15/2020,12%
3/22/2020,-6%
3/29/2020,3%
4/5/2020,-42%
4/12/2020,-31%
4/19/2020,0%
4/26/2020,-5%
5/3/2020,12%
5/10/2020,-2%
5/17/2020,9%
5/24/2020,9%
5/31/2020,1%
6/7/2020,5%
6/14/2020,-3%
6/21/2020,-13%
6/28/2020,-8%
7/5/2020,-13%
7/12/2020,-1%
7/19/2020,1%
7/26/2020,1%
8/2/2020,-2%
8/9/2020,6%
8/16/2020,5%
8/23/2020,1%
8/30/2020,2%
9/6/2020,-1%
9/13/2020,6%
9/20/2020,14%
9/27/2020,-9%
10/4/2020,13%
10/11/2020,3%
10/18/2020,-2%
10/25/2020,21%
11/1/2020,3%
11/8/2020,5%
11/15/2020,17%
11/22/2020,20%
11/29/2020,7%
12/6/2020,-8%
12/13/2020,5%
12/20/2020,9%
12/27/2020,-2%
1/3/2021,-13%
1/10/2021,9%
1/17/2021,8%
1/24/2021,6%
1/31/2021,19%
2/7/2021,8%
2/14/2021,1%
2/21/2021,-5%
2/28/2021,14%
3/7/2021,2%
3/14/2021,18%
3/21/2021,8%
3/28/2021,19%
4/4/2021,7%
4/11/2021,6%
4/18/2021,6%
4/25/2021,-2%
5/2/2021,21%
5/9/2021,4%
5/16/2021,5%
5/23/2021,-9%
5/30/2021,15%
6/6/2021,5%
6/13/2021,9%
6/20/2021,1%
6/27/2021,13%
7/4/2021,12%
7/11/2021,10%
7/18/2021,13%
7/25/2021,18%
8/1/2021,3%
8/8/2021,5%
8/15/2021,-14%
8/22/2021,-12%
8/29/2021,30%
9/5/2021,15%
9/12/2021,16%
9/19/2021,17%
9/26/2021,11%
10/3/2021,16%
10/10/2021,17%
10/17/2021,2%
10/24/2021,24%
10/31/2021,12%
11/7/2021,13%
11/14/2021,19%
11/21/2021,16%
11/28/2021,25%
12/5/2021,10%
