Row Labels,Change in In-Person Mastercard Spending
1/5/2020,-9%
1/12/2020,-3%
1/19/2020,6%
1/26/2020,-13%
2/2/2020,1%
2/9/2020,-26%
2/16/2020,-22%
2/23/2020,-22%
3/1/2020,-15%
3/8/2020,-26%
3/15/2020,-60%
3/22/2020,-64%
3/29/2020,-80%
4/5/2020,-86%
4/12/2020,-64%
4/19/2020,-71%
4/26/2020,-46%
5/3/2020,-60%
5/10/2020,-60%
5/17/2020,-47%
5/24/2020,-57%
5/31/2020,-60%
6/7/2020,-60%
6/14/2020,-69%
6/21/2020,-51%
6/28/2020,-18%
7/5/2020,-59%
7/12/2020,-43%
7/19/2020,-40%
7/26/2020,-37%
8/2/2020,-36%
8/9/2020,-35%
8/16/2020,-18%
8/23/2020,-19%
8/30/2020,-12%
9/6/2020,-30%
9/13/2020,-14%
9/20/2020,-19%
9/27/2020,-34%
10/4/2020,-23%
10/11/2020,-26%
10/18/2020,-51%
10/25/2020,-21%
11/1/2020,-15%
11/8/2020,-17%
11/15/2020,-16%
11/22/2020,-13%
11/29/2020,-7%
12/6/2020,-10%
12/13/2020,-11%
12/20/2020,13%
12/27/2020,13%
1/3/2021,4%
1/10/2021,-4%
1/17/2021,-11%
1/24/2021,0%
1/31/2021,-1%
2/7/2021,-10%
2/14/2021,1%
2/21/2021,-1%
2/28/2021,-26%
3/7/2021,-5%
3/14/2021,-10%
3/21/2021,5%
3/28/2021,12%
4/4/2021,7%
4/11/2021,-3%
4/18/2021,-1%
4/25/2021,-6%
5/2/2021,38%
5/9/2021,-6%
5/16/2021,-23%
5/23/2021,-24%
5/30/2021,-23%
6/6/2021,0%
6/13/2021,3%
6/20/2021,-1%
6/27/2021,13%
7/4/2021,-28%
7/11/2021,-9%
7/18/2021,-4%
7/25/2021,11%
8/1/2021,6%
8/8/2021,4%
8/15/2021,13%
8/22/2021,22%
8/29/2021,31%
9/5/2021,10%
9/12/2021,13%
9/19/2021,27%
9/26/2021,-1%
10/3/2021,15%
10/10/2021,4%
10/17/2021,3%
10/24/2021,9%
10/31/2021,21%
11/7/2021,26%
11/14/2021,27%
11/21/2021,18%
11/28/2021,33%
12/5/2021,31%
