Row Labels,Change in In-Person Mastercard Spending
1/5/2020,-4%
1/12/2020,-16%
1/19/2020,0%
1/26/2020,-23%
2/2/2020,-5%
2/9/2020,-28%
2/16/2020,-26%
2/23/2020,-44%
3/1/2020,-6%
3/8/2020,-8%
3/15/2020,-32%
3/22/2020,-38%
3/29/2020,-57%
4/5/2020,-89%
4/12/2020,-78%
4/19/2020,-29%
4/26/2020,-20%
5/3/2020,-45%
5/10/2020,-61%
5/17/2020,-21%
5/24/2020,-44%
5/31/2020,-39%
6/7/2020,-31%
6/14/2020,-39%
6/21/2020,-67%
6/28/2020,-33%
7/5/2020,-47%
7/12/2020,-53%
7/19/2020,-39%
7/26/2020,-38%
8/2/2020,-25%
8/9/2020,-18%
8/16/2020,-28%
8/23/2020,-7%
8/30/2020,-9%
9/6/2020,-17%
9/13/2020,-15%
9/20/2020,-6%
9/27/2020,-27%
10/4/2020,2%
10/11/2020,-9%
10/18/2020,-10%
10/25/2020,-11%
11/1/2020,-2%
11/8/2020,-21%
11/15/2020,-8%
11/22/2020,5%
11/29/2020,-17%
12/6/2020,-25%
12/13/2020,-23%
12/20/2020,-8%
12/27/2020,13%
1/3/2021,13%
1/10/2021,9%
1/17/2021,4%
1/24/2021,11%
1/31/2021,-4%
2/7/2021,-17%
2/14/2021,-6%
2/21/2021,-20%
2/28/2021,-18%
3/7/2021,1%
3/14/2021,3%
3/21/2021,0%
3/28/2021,0%
4/4/2021,-14%
4/11/2021,-47%
4/18/2021,-17%
4/25/2021,1%
5/2/2021,-14%
5/9/2021,0%
5/16/2021,7%
5/23/2021,-10%
5/30/2021,-13%
6/6/2021,0%
6/13/2021,16%
6/20/2021,-6%
6/27/2021,20%
7/4/2021,-33%
7/11/2021,-4%
7/18/2021,-1%
7/25/2021,-3%
8/1/2021,11%
8/8/2021,3%
8/15/2021,-2%
8/22/2021,20%
8/29/2021,10%
9/5/2021,18%
9/12/2021,27%
9/19/2021,19%
9/26/2021,13%
10/3/2021,24%
10/10/2021,24%
10/17/2021,23%
10/24/2021,19%
10/31/2021,14%
11/7/2021,27%
11/14/2021,32%
11/21/2021,19%
11/28/2021,30%
12/5/2021,27%
