Row Labels,Change in In-Person Mastercard Spending
1/5/2020,6%
1/12/2020,-2%
1/19/2020,21%
1/26/2020,14%
2/2/2020,3%
2/9/2020,-2%
2/16/2020,1%
2/23/2020,-9%
3/1/2020,18%
3/8/2020,14%
3/15/2020,9%
3/22/2020,-25%
3/29/2020,-78%
4/5/2020,-33%
4/12/2020,-13%
4/19/2020,-4%
4/26/2020,11%
5/3/2020,5%
5/10/2020,14%
5/17/2020,10%
5/24/2020,23%
5/31/2020,23%
6/7/2020,24%
6/14/2020,13%
6/21/2020,15%
6/28/2020,16%
7/5/2020,24%
7/12/2020,24%
7/19/2020,29%
7/26/2020,28%
8/2/2020,13%
8/9/2020,16%
8/16/2020,16%
8/23/2020,20%
8/30/2020,17%
9/6/2020,11%
9/13/2020,13%
9/20/2020,12%
9/27/2020,15%
10/4/2020,12%
10/11/2020,19%
10/18/2020,4%
10/25/2020,22%
11/1/2020,19%
11/8/2020,14%
11/15/2020,17%
11/22/2020,19%
11/29/2020,16%
12/6/2020,11%
12/13/2020,10%
12/20/2020,13%
12/27/2020,24%
1/3/2021,29%
1/10/2021,25%
1/17/2021,39%
1/24/2021,33%
1/31/2021,35%
2/7/2021,18%
2/14/2021,24%
2/21/2021,26%
2/28/2021,29%
3/7/2021,29%
3/14/2021,27%
3/21/2021,26%
3/28/2021,16%
4/4/2021,32%
4/11/2021,15%
4/18/2021,12%
4/25/2021,14%
5/2/2021,18%
5/9/2021,8%
5/16/2021,8%
5/23/2021,3%
5/30/2021,6%
6/6/2021,18%
6/13/2021,17%
6/20/2021,23%
6/27/2021,22%
7/4/2021,13%
7/11/2021,9%
7/18/2021,14%
7/25/2021,14%
8/1/2021,14%
8/8/2021,13%
8/15/2021,20%
8/22/2021,18%
8/29/2021,22%
9/5/2021,25%
9/12/2021,17%
9/19/2021,20%
9/26/2021,17%
10/3/2021,14%
10/10/2021,15%
10/17/2021,10%
10/24/2021,16%
10/31/2021,17%
11/7/2021,12%
11/14/2021,18%
11/21/2021,20%
11/28/2021,29%
12/5/2021,18%
