Row Labels,Change in In-Person Mastercard Spending
1/5/2020,-25%
1/12/2020,-17%
1/19/2020,2%
1/26/2020,16%
2/2/2020,15%
2/9/2020,-35%
2/16/2020,-62%
2/23/2020,-28%
3/1/2020,-2%
3/8/2020,-28%
3/15/2020,-24%
3/22/2020,-67%
3/29/2020,-92%
4/5/2020,-57%
4/12/2020,-111%
4/19/2020,-112%
4/26/2020,-31%
5/3/2020,-44%
5/10/2020,-45%
5/17/2020,-3%
5/24/2020,-60%
5/31/2020,-26%
6/7/2020,-44%
6/14/2020,-51%
6/21/2020,-21%
6/28/2020,2%
7/5/2020,-37%
7/12/2020,0%
7/19/2020,-16%
7/26/2020,-14%
8/2/2020,-30%
8/9/2020,-29%
8/16/2020,-19%
8/23/2020,-19%
8/30/2020,4%
9/6/2020,2%
9/13/2020,-1%
9/20/2020,2%
9/27/2020,0%
10/4/2020,11%
10/11/2020,11%
10/18/2020,4%
10/25/2020,21%
11/1/2020,-3%
11/8/2020,-26%
11/15/2020,7%
11/22/2020,-6%
11/29/2020,-18%
12/6/2020,2%
12/13/2020,-22%
12/20/2020,-13%
12/27/2020,13%
1/3/2021,-25%
1/10/2021,-21%
1/17/2021,2%
1/24/2021,-3%
1/31/2021,-31%
2/7/2021,-46%
2/14/2021,-39%
2/21/2021,-18%
2/28/2021,0%
3/7/2021,-40%
3/14/2021,-10%
3/21/2021,-28%
3/28/2021,-23%
4/4/2021,-7%
4/11/2021,-58%
4/18/2021,-81%
4/25/2021,-10%
5/2/2021,-25%
5/9/2021,-45%
5/16/2021,-17%
5/23/2021,-26%
5/30/2021,-41%
6/6/2021,-49%
6/13/2021,-29%
6/20/2021,-24%
6/27/2021,6%
7/4/2021,-52%
7/11/2021,-36%
7/18/2021,-16%
7/25/2021,5%
8/1/2021,-15%
8/8/2021,-12%
8/15/2021,-5%
8/22/2021,-24%
8/29/2021,-4%
9/5/2021,-13%
9/12/2021,-27%
9/19/2021,-1%
9/26/2021,9%
10/3/2021,4%
10/10/2021,-3%
10/17/2021,3%
10/24/2021,8%
10/31/2021,3%
11/7/2021,-3%
11/14/2021,-6%
11/21/2021,20%
11/28/2021,19%
12/5/2021,-3%
