Row Labels,Change in In-Person Mastercard Spending
1/5/2020,-3%
1/12/2020,-13%
1/19/2020,2%
1/26/2020,-8%
2/2/2020,-2%
2/9/2020,-1%
2/16/2020,7%
2/23/2020,4%
3/1/2020,8%
3/8/2020,14%
3/15/2020,18%
3/22/2020,12%
3/29/2020,17%
4/5/2020,22%
4/12/2020,17%
4/19/2020,20%
4/26/2020,14%
5/3/2020,12%
5/10/2020,10%
5/17/2020,17%
5/24/2020,11%
5/31/2020,15%
6/7/2020,23%
6/14/2020,12%
6/21/2020,11%
6/28/2020,9%
7/5/2020,15%
7/12/2020,10%
7/19/2020,6%
7/26/2020,13%
8/2/2020,5%
8/9/2020,8%
8/16/2020,12%
8/23/2020,5%
8/30/2020,12%
9/6/2020,4%
9/13/2020,10%
9/20/2020,-1%
9/27/2020,11%
10/4/2020,4%
10/11/2020,7%
10/18/2020,12%
10/25/2020,6%
11/1/2020,8%
11/8/2020,-7%
11/15/2020,11%
11/22/2020,17%
11/29/2020,6%
12/6/2020,-8%
12/13/2020,-9%
12/20/2020,13%
12/27/2020,16%
1/3/2021,2%
1/10/2021,-5%
1/17/2021,11%
1/24/2021,-4%
1/31/2021,6%
2/7/2021,9%
2/14/2021,9%
2/21/2021,8%
2/28/2021,1%
3/7/2021,9%
3/14/2021,4%
3/21/2021,17%
3/28/2021,13%
4/4/2021,19%
4/11/2021,-16%
4/18/2021,5%
4/25/2021,9%
5/2/2021,8%
5/9/2021,11%
5/16/2021,8%
5/23/2021,13%
5/30/2021,-1%
6/6/2021,14%
6/13/2021,13%
6/20/2021,22%
6/27/2021,17%
7/4/2021,12%
7/11/2021,16%
7/18/2021,10%
7/25/2021,16%
8/1/2021,17%
8/8/2021,15%
8/15/2021,17%
8/22/2021,16%
8/29/2021,22%
9/5/2021,17%
9/12/2021,8%
9/19/2021,10%
9/26/2021,23%
10/3/2021,17%
10/10/2021,14%
10/17/2021,24%
10/24/2021,22%
10/31/2021,19%
11/7/2021,16%
11/14/2021,26%
11/21/2021,28%
11/28/2021,15%
12/5/2021,10%
