Row Labels,Change in In-Person Mastercard Spending
1/5/2020,-13%
1/12/2020,-16%
1/19/2020,-2%
1/26/2020,-17%
2/2/2020,-9%
2/9/2020,-8%
2/16/2020,-10%
2/23/2020,-13%
3/1/2020,-3%
3/8/2020,11%
3/15/2020,-14%
3/22/2020,-38%
3/29/2020,-55%
4/5/2020,-45%
4/12/2020,-29%
4/19/2020,-33%
4/26/2020,-25%
5/3/2020,-33%
5/10/2020,-36%
5/17/2020,-29%
5/24/2020,-12%
5/31/2020,-17%
6/7/2020,-16%
6/14/2020,-16%
6/21/2020,-17%
6/28/2020,-14%
7/5/2020,-12%
7/12/2020,-7%
7/19/2020,-2%
7/26/2020,11%
8/2/2020,3%
8/9/2020,0%
8/16/2020,-4%
8/23/2020,-8%
8/30/2020,-2%
9/6/2020,-17%
9/13/2020,-11%
9/20/2020,-18%
9/27/2020,-2%
10/4/2020,7%
10/11/2020,4%
10/18/2020,6%
10/25/2020,8%
11/1/2020,6%
11/8/2020,-3%
11/15/2020,10%
11/22/2020,-2%
11/29/2020,-4%
12/6/2020,-12%
12/13/2020,-15%
12/20/2020,-3%
12/27/2020,-2%
1/3/2021,-2%
1/10/2021,-7%
1/17/2021,3%
1/24/2021,4%
1/31/2021,10%
2/7/2021,-3%
2/14/2021,4%
2/21/2021,-3%
2/28/2021,-6%
3/7/2021,12%
3/14/2021,3%
3/21/2021,0%
3/28/2021,6%
4/4/2021,3%
4/11/2021,6%
4/18/2021,-6%
4/25/2021,-1%
5/2/2021,7%
5/9/2021,8%
5/16/2021,13%
5/23/2021,-4%
5/30/2021,8%
6/6/2021,8%
6/13/2021,14%
6/20/2021,11%
6/27/2021,17%
7/4/2021,7%
7/11/2021,12%
7/18/2021,8%
7/25/2021,20%
8/1/2021,15%
8/8/2021,11%
8/15/2021,13%
8/22/2021,4%
8/29/2021,20%
9/5/2021,14%
9/12/2021,9%
9/19/2021,8%
9/26/2021,12%
10/3/2021,12%
10/10/2021,13%
10/17/2021,20%
10/24/2021,17%
10/31/2021,13%
11/7/2021,12%
11/14/2021,24%
11/21/2021,12%
11/28/2021,13%
12/5/2021,7%
