Row Labels,Change in In-Person Mastercard Spending
1/5/2020,-26%
1/12/2020,10%
1/19/2020,3%
1/26/2020,7%
2/2/2020,14%
2/9/2020,1%
2/16/2020,11%
2/23/2020,19%
3/1/2020,35%
3/8/2020,28%
3/15/2020,1%
3/22/2020,15%
3/29/2020,-7%
4/5/2020,-15%
4/12/2020,-23%
4/19/2020,-1%
4/26/2020,14%
5/3/2020,17%
5/10/2020,8%
5/17/2020,3%
5/24/2020,1%
5/31/2020,-6%
6/7/2020,-11%
6/14/2020,3%
6/21/2020,-2%
6/28/2020,-3%
7/5/2020,3%
7/12/2020,-27%
7/19/2020,-12%
7/26/2020,17%
8/2/2020,-1%
8/9/2020,-22%
8/16/2020,-1%
8/23/2020,0%
8/30/2020,19%
9/6/2020,11%
9/13/2020,11%
9/20/2020,14%
9/27/2020,-20%
10/4/2020,9%
10/11/2020,11%
10/18/2020,13%
10/25/2020,11%
11/1/2020,11%
11/8/2020,26%
11/15/2020,9%
11/22/2020,12%
11/29/2020,8%
12/6/2020,11%
12/13/2020,1%
12/20/2020,27%
12/27/2020,20%
1/3/2021,0%
1/10/2021,28%
1/17/2021,13%
1/24/2021,23%
1/31/2021,23%
2/7/2021,7%
2/14/2021,10%
2/21/2021,25%
2/28/2021,18%
3/7/2021,15%
3/14/2021,8%
3/21/2021,24%
3/28/2021,23%
4/4/2021,28%
4/11/2021,5%
4/18/2021,10%
4/25/2021,19%
5/2/2021,21%
5/9/2021,11%
5/16/2021,0%
5/23/2021,4%
5/30/2021,1%
6/6/2021,29%
6/13/2021,17%
6/20/2021,30%
6/27/2021,26%
7/4/2021,25%
7/11/2021,-5%
7/18/2021,27%
7/25/2021,18%
8/1/2021,17%
8/8/2021,19%
8/15/2021,21%
8/22/2021,8%
8/29/2021,11%
9/5/2021,19%
9/12/2021,25%
9/19/2021,10%
9/26/2021,-15%
10/3/2021,18%
10/10/2021,3%
10/17/2021,11%
10/24/2021,-15%
10/31/2021,23%
11/7/2021,26%
11/14/2021,15%
11/21/2021,15%
11/28/2021,33%
12/5/2021,11%
