Row Labels,Change in In-Person Mastercard Spending
1/5/2020,-6%
1/12/2020,-2%
1/19/2020,-13%
1/26/2020,0%
2/2/2020,-6%
2/9/2020,-11%
2/16/2020,-3%
2/23/2020,-10%
3/1/2020,-10%
3/8/2020,8%
3/15/2020,-1%
3/22/2020,-13%
3/29/2020,-37%
4/5/2020,-20%
4/12/2020,-29%
4/19/2020,5%
4/26/2020,-7%
5/3/2020,-4%
5/10/2020,-11%
5/17/2020,4%
5/24/2020,2%
5/31/2020,-9%
6/7/2020,-9%
6/14/2020,-6%
6/21/2020,2%
6/28/2020,10%
7/5/2020,10%
7/12/2020,10%
7/19/2020,-5%
7/26/2020,10%
8/2/2020,13%
8/9/2020,6%
8/16/2020,12%
8/23/2020,3%
8/30/2020,5%
9/6/2020,2%
9/13/2020,9%
9/20/2020,1%
9/27/2020,12%
10/4/2020,7%
10/11/2020,4%
10/18/2020,18%
10/25/2020,-2%
11/1/2020,11%
11/8/2020,-2%
11/15/2020,3%
11/22/2020,10%
11/29/2020,-6%
12/6/2020,11%
12/13/2020,-27%
12/20/2020,-7%
12/27/2020,6%
1/3/2021,6%
1/10/2021,9%
1/17/2021,-9%
1/24/2021,6%
1/31/2021,1%
2/7/2021,4%
2/14/2021,0%
2/21/2021,6%
2/28/2021,-8%
3/7/2021,4%
3/14/2021,7%
3/21/2021,6%
3/28/2021,6%
4/4/2021,-5%
4/11/2021,-14%
4/18/2021,10%
4/25/2021,7%
5/2/2021,8%
5/9/2021,3%
5/16/2021,6%
5/23/2021,-9%
5/30/2021,-6%
6/6/2021,0%
6/13/2021,6%
6/20/2021,0%
6/27/2021,18%
7/4/2021,-3%
7/11/2021,17%
7/18/2021,5%
7/25/2021,12%
8/1/2021,9%
8/8/2021,7%
8/15/2021,17%
8/22/2021,13%
8/29/2021,16%
9/5/2021,12%
9/12/2021,21%
9/19/2021,12%
9/26/2021,14%
10/3/2021,10%
10/10/2021,15%
10/17/2021,23%
10/24/2021,5%
10/31/2021,17%
11/7/2021,12%
11/14/2021,14%
11/21/2021,23%
11/28/2021,12%
12/5/2021,20%
