Row Labels,Change in In-Person Mastercard Spending
1/5/2020,-15%
1/12/2020,-13%
1/19/2020,-7%
1/26/2020,-27%
2/2/2020,-9%
2/9/2020,-16%
2/16/2020,-20%
2/23/2020,-5%
3/1/2020,-5%
3/8/2020,2%
3/15/2020,-15%
3/22/2020,-67%
3/29/2020,-88%
4/5/2020,-103%
4/12/2020,-91%
4/19/2020,-58%
4/26/2020,-60%
5/3/2020,-44%
5/10/2020,-46%
5/17/2020,-21%
5/24/2020,8%
5/31/2020,-10%
6/7/2020,7%
6/14/2020,17%
6/21/2020,7%
6/28/2020,14%
7/5/2020,0%
7/12/2020,4%
7/19/2020,5%
7/26/2020,1%
8/2/2020,5%
8/9/2020,11%
8/16/2020,1%
8/23/2020,13%
8/30/2020,0%
9/6/2020,-1%
9/13/2020,10%
9/20/2020,26%
9/27/2020,-6%
10/4/2020,14%
10/11/2020,16%
10/18/2020,19%
10/25/2020,5%
11/1/2020,2%
11/8/2020,-1%
11/15/2020,-12%
11/22/2020,-3%
11/29/2020,6%
12/6/2020,-14%
12/13/2020,-26%
12/20/2020,9%
12/27/2020,20%
1/3/2021,-6%
1/10/2021,-30%
1/17/2021,-11%
1/24/2021,-9%
1/31/2021,12%
2/7/2021,4%
2/14/2021,-7%
2/21/2021,4%
2/28/2021,-4%
3/7/2021,-2%
3/14/2021,4%
3/21/2021,0%
3/28/2021,-5%
4/4/2021,-2%
4/11/2021,-6%
4/18/2021,-1%
4/25/2021,4%
5/2/2021,9%
5/9/2021,5%
5/16/2021,8%
5/23/2021,8%
5/30/2021,-3%
6/6/2021,5%
6/13/2021,20%
6/20/2021,15%
6/27/2021,13%
7/4/2021,-28%
7/11/2021,-7%
7/18/2021,-18%
7/25/2021,-17%
8/1/2021,-9%
8/8/2021,-9%
8/15/2021,-16%
8/22/2021,-10%
8/29/2021,-4%
9/5/2021,-15%
9/12/2021,0%
9/19/2021,3%
9/26/2021,-12%
10/3/2021,0%
10/10/2021,6%
10/17/2021,5%
10/24/2021,8%
10/31/2021,-9%
11/7/2021,-8%
11/14/2021,-20%
11/21/2021,-18%
11/28/2021,11%
12/5/2021,16%
