Row Labels,Change in In-Person Mastercard Spending
1/5/2020,-7%
1/12/2020,6%
1/19/2020,8%
1/26/2020,5%
2/2/2020,3%
2/9/2020,-6%
2/16/2020,-4%
2/23/2020,2%
3/1/2020,13%
3/8/2020,9%
3/15/2020,3%
3/22/2020,-28%
3/29/2020,-41%
4/5/2020,-61%
4/12/2020,-20%
4/19/2020,-52%
4/26/2020,-34%
5/3/2020,-16%
5/10/2020,-5%
5/17/2020,-5%
5/24/2020,-7%
5/31/2020,6%
6/7/2020,7%
6/14/2020,-5%
6/21/2020,11%
6/28/2020,13%
7/5/2020,-6%
7/12/2020,10%
7/19/2020,9%
7/26/2020,9%
8/2/2020,-2%
8/9/2020,8%
8/16/2020,6%
8/23/2020,9%
8/30/2020,7%
9/6/2020,-5%
9/13/2020,-11%
9/20/2020,-1%
9/27/2020,14%
10/4/2020,5%
10/11/2020,13%
10/18/2020,-4%
10/25/2020,15%
11/1/2020,-11%
11/8/2020,13%
11/15/2020,11%
11/22/2020,-4%
11/29/2020,0%
12/6/2020,-6%
12/13/2020,-5%
12/20/2020,9%
12/27/2020,-7%
1/3/2021,18%
1/10/2021,5%
1/17/2021,-5%
1/24/2021,12%
1/31/2021,10%
2/7/2021,5%
2/14/2021,4%
2/21/2021,0%
2/28/2021,2%
3/7/2021,11%
3/14/2021,2%
3/21/2021,-1%
3/28/2021,1%
4/4/2021,-6%
4/11/2021,-2%
4/18/2021,-12%
4/25/2021,17%
5/2/2021,20%
5/9/2021,5%
5/16/2021,18%
5/23/2021,9%
5/30/2021,7%
6/6/2021,18%
6/13/2021,14%
6/20/2021,14%
6/27/2021,10%
7/4/2021,9%
7/11/2021,12%
7/18/2021,11%
7/25/2021,11%
8/1/2021,9%
8/8/2021,21%
8/15/2021,9%
8/22/2021,15%
8/29/2021,17%
9/5/2021,3%
9/12/2021,2%
9/19/2021,-8%
9/26/2021,15%
10/3/2021,11%
10/10/2021,21%
10/17/2021,14%
10/24/2021,11%
10/31/2021,-5%
11/7/2021,1%
11/14/2021,9%
11/21/2021,-6%
11/28/2021,3%
12/5/2021,6%
