Row Labels,Change in In-Person Mastercard Spending
1/5/2020,3%
1/12/2020,-3%
1/19/2020,4%
1/26/2020,0%
2/2/2020,-6%
2/9/2020,-1%
2/16/2020,7%
2/23/2020,1%
3/1/2020,-4%
3/8/2020,3%
3/15/2020,-17%
3/22/2020,-21%
3/29/2020,-11%
4/5/2020,-43%
4/12/2020,-56%
4/19/2020,-56%
4/26/2020,-62%
5/3/2020,-59%
5/10/2020,-58%
5/17/2020,-61%
5/24/2020,-64%
5/31/2020,-60%
6/7/2020,-29%
6/14/2020,-23%
6/21/2020,-30%
6/28/2020,-14%
7/5/2020,-18%
7/12/2020,-26%
7/19/2020,-22%
7/26/2020,-4%
8/2/2020,-7%
8/9/2020,-4%
8/16/2020,-3%
8/23/2020,1%
8/30/2020,3%
9/6/2020,-4%
9/13/2020,-2%
9/20/2020,0%
9/27/2020,-1%
10/4/2020,9%
10/11/2020,-1%
10/18/2020,4%
10/25/2020,1%
11/1/2020,-7%
11/8/2020,-6%
11/15/2020,1%
11/22/2020,1%
11/29/2020,7%
12/6/2020,-2%
12/13/2020,3%
12/20/2020,-11%
12/27/2020,2%
1/3/2021,8%
1/10/2021,1%
1/17/2021,-5%
1/24/2021,2%
1/31/2021,-2%
2/7/2021,-3%
2/14/2021,4%
2/21/2021,3%
2/28/2021,-10%
3/7/2021,1%
3/14/2021,1%
3/21/2021,12%
3/28/2021,12%
4/4/2021,4%
4/11/2021,-20%
4/18/2021,-2%
4/25/2021,-16%
5/2/2021,-2%
5/9/2021,-11%
5/16/2021,-12%
5/23/2021,-19%
5/30/2021,-1%
6/6/2021,-3%
6/13/2021,-2%
6/20/2021,-4%
6/27/2021,14%
7/4/2021,6%
7/11/2021,3%
7/18/2021,15%
7/25/2021,20%
8/1/2021,18%
8/8/2021,11%
8/15/2021,12%
8/22/2021,15%
8/29/2021,30%
9/5/2021,28%
9/12/2021,25%
9/19/2021,24%
9/26/2021,29%
10/3/2021,30%
10/10/2021,21%
10/17/2021,25%
10/24/2021,27%
10/31/2021,25%
11/7/2021,26%
11/14/2021,24%
11/21/2021,15%
11/28/2021,8%
12/5/2021,2%
