Row Labels,Change in In-Person Mastercard Spending
1/5/2020,-8%
1/12/2020,-10%
1/19/2020,-2%
1/26/2020,-16%
2/2/2020,-4%
2/9/2020,-1%
2/16/2020,-6%
2/23/2020,-6%
3/1/2020,-6%
3/8/2020,1%
3/15/2020,-33%
3/22/2020,-56%
3/29/2020,-83%
4/5/2020,-65%
4/12/2020,-47%
4/19/2020,-53%
4/26/2020,-71%
5/3/2020,-32%
5/10/2020,-62%
5/17/2020,-33%
5/24/2020,-69%
5/31/2020,-72%
6/7/2020,-50%
6/14/2020,-79%
6/21/2020,-84%
6/28/2020,-38%
7/5/2020,-10%
7/12/2020,-42%
7/19/2020,-35%
7/26/2020,-47%
8/2/2020,-30%
8/9/2020,-25%
8/16/2020,-31%
8/23/2020,-17%
8/30/2020,-19%
9/6/2020,-17%
9/13/2020,-21%
9/20/2020,-10%
9/27/2020,-16%
10/4/2020,-1%
10/11/2020,-8%
10/18/2020,0%
10/25/2020,-18%
11/1/2020,-31%
11/8/2020,-6%
11/15/2020,-18%
11/22/2020,-26%
11/29/2020,3%
12/6/2020,-3%
12/13/2020,-42%
12/20/2020,26%
12/27/2020,18%
1/3/2021,3%
1/10/2021,14%
1/17/2021,25%
1/24/2021,12%
1/31/2021,16%
2/7/2021,12%
2/14/2021,5%
2/21/2021,19%
2/28/2021,7%
3/7/2021,21%
3/14/2021,18%
3/21/2021,29%
3/28/2021,4%
4/4/2021,4%
4/11/2021,8%
4/18/2021,9%
4/25/2021,-6%
5/2/2021,20%
5/9/2021,13%
5/16/2021,16%
5/23/2021,10%
5/30/2021,7%
6/6/2021,17%
6/13/2021,6%
6/20/2021,3%
6/27/2021,28%
7/4/2021,15%
7/11/2021,36%
7/18/2021,2%
7/25/2021,12%
8/1/2021,26%
8/8/2021,20%
8/15/2021,7%
8/22/2021,17%
8/29/2021,12%
9/5/2021,32%
9/12/2021,18%
9/19/2021,17%
9/26/2021,10%
10/3/2021,15%
10/10/2021,19%
10/17/2021,14%
10/24/2021,1%
10/31/2021,-3%
11/7/2021,17%
11/14/2021,22%
11/21/2021,9%
11/28/2021,2%
12/5/2021,-5%
