Row Labels,Share,Average of trips,,,2019 trips
1/4/20,1%,342.5714286,,1/5/19,339.6
1/11/20,23%,438.1428571,,1/12/19,357
1/18/20,19%,438.8571429,,1/19/19,369.7142857
1/25/20,25%,428.5714286,,1/26/19,342.2857143
2/1/20,20%,434.7142857,,2/2/19,361.5714286
2/8/20,13%,440.2857143,,2/9/19,391.2857143
2/15/20,12%,442,,2/16/19,394.7142857
2/22/20,12%,384.7142857,,2/23/19,344.8571429
2/29/20,28%,445.4285714,,3/2/19,348.5714286
3/7/20,19%,460.4285714,,3/9/19,387.2857143
3/14/20,-4%,410.8571429,,3/16/19,429.5714286
3/21/20,-52%,206,,3/23/19,431.2857143
3/28/20,-70%,137.5714286,,3/30/19,463.7142857
4/4/20,-68%,143.5714286,,4/6/19,448.4285714
4/11/20,-69%,141.4285714,,4/13/19,455.8571429
4/18/20,-69%,132.5714286,,4/20/19,424.7142857
4/25/20,-71%,135.7142857,,4/27/19,468.8571429
5/2/20,-68%,147.2857143,,5/4/19,453.7142857
5/9/20,-66%,161.4285714,,5/11/19,478.7142857
5/16/20,-68%,153.5714286,,5/18/19,476.5714286
5/23/20,-63%,180,,5/25/19,484.8571429
5/30/20,-59%,194.2857143,,6/1/19,468.8571429
6/6/20,-57%,224.5714286,,6/8/19,522.4285714
6/13/20,-54%,221.4285714,,6/15/19,480.5714286
6/20/20,-54%,212.5714286,,6/22/19,459.7142857
6/27/20,-51%,228.2857143,,6/29/19,462.7142857
7/4/20,-50%,209.4285714,,7/6/19,417.5714286
7/11/20,-54%,226.7142857,,7/13/19,492.8571429
7/18/20,-54%,227.2857143,,7/20/19,498.8571429
7/25/20,-51%,239.8571429,,7/27/19,491.1428571
8/1/20,-47%,258.4285714,,8/3/19,488.2857143
8/8/20,-45%,266,,8/10/19,485.8571429
8/15/20,-47%,252.4285714,,8/17/19,472.2857143
8/22/20,-44%,258.8571429,,8/24/19,462
8/29/20,-43%,270.8571429,,8/31/19,477.5714286
9/5/20,-39%,297.2857143,,9/7/19,484.5714286
9/12/20,-50%,278.1428571,,9/14/19,551.2857143
9/19/20,-46%,281.1428571,,9/21/19,524.4285714
9/26/20,-45%,290.1428571,,9/28/19,529.4285714
10/3/20,-43%,282,,10/5/19,498.8571429
10/10/20,-40%,279.8571429,,10/12/19,463.5714286
10/17/20,-42%,264,,10/19/19,457.2857143
10/24/20,-41%,264.8571429,,10/26/19,447.5714286
10/31/20,-49%,241.5714286,,11/2/19,473.8571429
11/7/20,-49%,231.2857143,,11/9/19,456.8571429
11/14/20,-52%,218.2857143,,11/16/19,456.8571429
11/21/20,-50%,212.2857143,,11/23/19,423.5714286
11/28/20,-53%,181.8571429,,11/30/19,386.8571429
12/5/20,-54%,197.5714286,,12/7/19,427
12/12/20,-55%,204,,12/14/19,455
12/19/20,-57%,189,,12/21/19,435.7142857
12/26/20,-53%,163.4285714,,12/28/19,345.5714286
1/2/21,-52%,163.5714286,,1/5/19,339.6
1/9/21,-50%,179.8571429,,1/12/19,357
1/16/21,-51%,183,,1/19/19,369.7142857
1/23/21,-43%,194.7142857,,1/26/19,342.2857143
1/30/21,-42%,208.5714286,,2/2/19,361.5714286
2/6/21,-49%,198.5714286,,2/9/19,391.2857143
2/13/21,-45%,215.1428571,,2/16/19,394.7142857
2/20/21,-46%,185.7142857,,2/23/19,344.8571429
2/27/21,-32%,236.4285714,,3/2/19,348.5714286
3/6/21,-38%,241.2857143,,3/9/19,387.2857143
3/13/21,-37%,271.4285714,,3/16/19,429.5714286
3/20/21,-44%,242.5714286,,3/23/19,431.2857143
3/27/21,-46%,249.1428571,,3/30/19,463.7142857
4/3/21,-43%,256.4285714,,4/6/19,448.4285714
4/10/21,-46%,246.4285714,,4/13/19,455.8571429
4/17/21,-46%,228.1428571,,4/20/19,424.7142857
4/24/21,-51%,229,,4/27/19,468.8571429
5/1/21,-42%,261.7142857,,5/4/19,453.7142857
5/8/21,-46%,259.2857143,,5/11/19,478.7142857
5/15/21,-41%,280.2857143,,5/18/19,476.5714286
5/22/21,-42%,280.7142857,,5/25/19,484.8571429
5/29/21,-40%,279.1428571,,6/1/19,468.8571429
6/5/21,-45%,287.1428571,,6/8/19,522.4285714
6/12/21,-41%,284.1428571,,6/15/19,480.5714286
6/19/21,-40%,274,,6/22/19,459.7142857
